2026-03-25 22:04:04 | INFO | P3 | === RUN START ===
2026-03-29 21:40:55 | INFO | P3 | Wrote signals file: C:\Repos\cintel-03-signal-design\artifacts\signals_Asher-Laws.csv
2026-03-29 21:40:55 | INFO | P3 | ========================
2026-03-29 21:40:55 | INFO | P3 | Pipeline executed successfully!
2026-03-29 21:40:55 | INFO | P3 | ========================
2026-03-29 21:40:55 | INFO | P3 | END main()
2026-03-29 21:48:19 | INFO | P3 | === RUN START ===
2026-03-29 21:48:19 | INFO | P3 | project=CINTEL
2026-03-29 21:48:19 | INFO | P3 | repo_dir=cintel-03-signal-design
2026-03-29 21:48:19 | INFO | P3 | python=3.14.3
2026-03-29 21:48:19 | INFO | P3 | os=Windows 11
2026-03-29 21:48:19 | INFO | P3 | shell=powershell
2026-03-29 21:48:19 | INFO | P3 | cwd=.
2026-03-29 21:48:19 | INFO | P3 | github_actions=False
2026-03-29 21:48:19 | INFO | P3 | ========================
2026-03-29 21:48:19 | INFO | P3 | START main()
2026-03-29 21:48:19 | INFO | P3 | ========================
2026-03-29 21:48:19 | INFO | P3 | ROOT_DIR = .
2026-03-29 21:48:19 | INFO | P3 | DATA_FILE = data\system_metrics_case.csv
2026-03-29 21:48:19 | INFO | P3 | OUTPUT_FILE = artifacts\signals_Asher-Laws.csv
2026-03-29 21:48:19 | INFO | P3 | ARTIFACTS_DIR = artifacts
2026-03-29 21:48:19 | INFO | P3 | Loaded 10 system metric records
2026-03-29 21:48:19 | INFO | P3 | Designing signals from the raw metrics...
2026-03-29 21:48:19 | INFO | P3 | Created signal columns: error_rate, avg_latency_ms, throughput
2026-03-29 21:48:19 | INFO | P3 | Enhanced signals table has 10 rows
2026-03-29 21:48:19 | INFO | P3 | Wrote signals file: C:\Repos\cintel-03-signal-design\artifacts\signals_Asher-Laws.csv
2026-03-29 21:48:19 | INFO | P3 | ========================
2026-03-29 21:48:19 | INFO | P3 | Pipeline executed successfully!
2026-03-29 21:48:19 | INFO | P3 | ========================
2026-03-29 21:48:19 | INFO | P3 | END main()
2026-03-29 23:07:00 | INFO | P3 | === RUN START ===
2026-03-29 23:07:00 | INFO | P3 | project=CINTEL
2026-03-29 23:07:00 | INFO | P3 | repo_dir=cintel-03-signal-design
2026-03-29 23:07:00 | INFO | P3 | python=3.14.3
2026-03-29 23:07:00 | INFO | P3 | os=Windows 11
2026-03-29 23:07:00 | INFO | P3 | shell=powershell
2026-03-29 23:07:00 | INFO | P3 | cwd=.
2026-03-29 23:07:00 | INFO | P3 | github_actions=False
2026-03-29 23:07:00 | INFO | P3 | ========================
2026-03-29 23:07:00 | INFO | P3 | START main()
2026-03-29 23:07:00 | INFO | P3 | ========================
2026-03-29 23:07:00 | INFO | P3 | ROOT_DIR = .
2026-03-29 23:07:00 | INFO | P3 | DATA_FILE = data\vehicle_type.csv
2026-03-29 23:07:00 | INFO | P3 | OUTPUT_FILE = artifacts\signals_Asher-Laws.csv
2026-03-29 23:07:00 | INFO | P3 | ARTIFACTS_DIR = artifacts
2026-03-29 23:07:00 | INFO | P3 | Loaded 3 system metric records
2026-03-29 23:07:00 | INFO | P3 | Designing signals from the raw metrics...
2026-03-29 23:07:27 | INFO | P3 | === RUN START ===
2026-03-29 23:07:27 | INFO | P3 | project=CINTEL
2026-03-29 23:07:27 | INFO | P3 | repo_dir=cintel-03-signal-design
2026-03-29 23:07:27 | INFO | P3 | python=3.14.3
2026-03-29 23:07:27 | INFO | P3 | os=Windows 11
2026-03-29 23:07:27 | INFO | P3 | shell=powershell
2026-03-29 23:07:27 | INFO | P3 | cwd=.
2026-03-29 23:07:27 | INFO | P3 | github_actions=False
2026-03-29 23:07:27 | INFO | P3 | ========================
2026-03-29 23:07:27 | INFO | P3 | START main()
2026-03-29 23:07:27 | INFO | P3 | ========================
2026-03-29 23:07:27 | INFO | P3 | ROOT_DIR = .
2026-03-29 23:07:27 | INFO | P3 | DATA_FILE = data\vehicle_type.csv
2026-03-29 23:07:27 | INFO | P3 | OUTPUT_FILE = artifacts\signals_Asher-Laws_vechile.csv
2026-03-29 23:07:27 | INFO | P3 | ARTIFACTS_DIR = artifacts
2026-03-29 23:07:27 | INFO | P3 | Loaded 3 system metric records
2026-03-29 23:07:27 | INFO | P3 | Designing signals from the raw metrics...
2026-03-29 23:17:19 | INFO | P3 | Designing signals from the raw metrics...
2026-03-29 23:25:07 | INFO | P3 | === RUN START ===
2026-03-29 23:25:07 | INFO | P3 | project=CINTEL
2026-03-29 23:25:07 | INFO | P3 | repo_dir=cintel-03-signal-design
2026-03-29 23:25:07 | INFO | P3 | python=3.14.3
2026-03-29 23:25:07 | INFO | P3 | os=Windows 11
2026-03-29 23:25:07 | INFO | P3 | shell=powershell
2026-03-29 23:25:07 | INFO | P3 | cwd=.
2026-03-29 23:25:07 | INFO | P3 | github_actions=False
2026-03-29 23:25:07 | INFO | P3 | ========================
2026-03-29 23:25:07 | INFO | P3 | START main()
2026-03-29 23:25:07 | INFO | P3 | ========================
2026-03-29 23:25:07 | INFO | P3 | ROOT_DIR = .
2026-03-29 23:25:07 | INFO | P3 | DATA_FILE = data\vehicle_type.csv
2026-03-29 23:25:07 | INFO | P3 | OUTPUT_FILE = artifacts\signals_Asher-Laws_vechile.csv
2026-03-29 23:25:07 | INFO | P3 | ARTIFACTS_DIR = artifacts
2026-03-29 23:25:07 | INFO | P3 | Loaded 3 records
2026-03-29 23:25:07 | INFO | P3 | Designing signals from the raw metrics...
2026-03-29 23:40:35 | INFO | P3 | === RUN START ===
2026-03-29 23:40:35 | INFO | P3 | project=CINTEL
2026-03-29 23:40:35 | INFO | P3 | repo_dir=cintel-03-signal-design
2026-03-29 23:40:35 | INFO | P3 | python=3.14.3
2026-03-29 23:40:35 | INFO | P3 | os=Windows 11
2026-03-29 23:40:35 | INFO | P3 | shell=powershell
2026-03-29 23:40:35 | INFO | P3 | cwd=.
2026-03-29 23:40:35 | INFO | P3 | github_actions=False
2026-03-29 23:40:35 | INFO | P3 | ========================
2026-03-29 23:40:35 | INFO | P3 | START main()
2026-03-29 23:40:35 | INFO | P3 | ========================
2026-03-29 23:40:35 | INFO | P3 | ROOT_DIR = .
2026-03-29 23:40:35 | INFO | P3 | DATA_FILE = data\system_metrics_Asher-Laws.csv
2026-03-29 23:40:35 | INFO | P3 | OUTPUT_FILE = artifacts\signals_Asher-Laws_custom.csv
2026-03-29 23:40:35 | INFO | P3 | ARTIFACTS_DIR = artifacts
2026-03-29 23:40:35 | INFO | P3 | Loaded 20 system metric records
2026-03-29 23:40:35 | INFO | P3 | Designing signals from the raw metrics...
2026-03-29 23:40:35 | INFO | P3 | Created signal columns: error_rate, avg_latency_ms, throughput
2026-03-29 23:40:35 | INFO | P3 | Enhanced signals table has 20 rows
2026-03-29 23:40:35 | INFO | P3 | Wrote signals file: C:\Repos\cintel-03-signal-design\artifacts\signals_Asher-Laws_custom.csv
2026-03-29 23:40:35 | INFO | P3 | ========================
2026-03-29 23:40:35 | INFO | P3 | Pipeline executed successfully!
2026-03-29 23:40:35 | INFO | P3 | ========================
2026-03-29 23:40:35 | INFO | P3 | END main()
